scenario,policy,PDR_mean,PDR_std,avg_hops_mean,rel_energy_mean
post-disaster,ADR-like shortest path,0.7857142857142857,0.05773502691896256,1.8545484881154064,1.8545484881154064
post-disaster,Fixed-SF shortest path (AODV-like),0.8126984126984128,0.02790221560515387,1.8688607815888234,1.8688607815888234
post-disaster,GNN+RL (proposed),0.8825396825396825,0.08469410521875621,1.8680129980555564,25.028745480223034
pre-disaster,ADR-like shortest path,0.798611111111111,0.031549490810001524,1.7962561584763466,1.7962561584763466
pre-disaster,Fixed-SF shortest path (AODV-like),0.7930555555555556,0.022948210613692087,1.8117323876387748,1.8117323876387748
pre-disaster,GNN+RL (proposed),0.6555555555555556,0.4785382352462472,1.4256854256854259,22.58152958152958
unseen-generalization,ADR-like shortest path,0.8013888888888889,0.05838291543606584,1.8599180472570662,1.8599180472570662
unseen-generalization,Fixed-SF shortest path (AODV-like),0.7875,0.050689687752485175,1.8407643343683953,1.8407643343683953
unseen-generalization,GNN+RL (proposed),0.8833333333333333,0.05605676686280712,1.8517635750901176,24.8170531031969
